,,Minutes,replicate 1 ,replicate 2 ,replicate 3
55:13:22,488,8.133333333,0.95,0.91,1.02
55:13:23,489,8.15,0.95,0.91,1.09
55:13:24,490,8.166666667,0.95,0.91,1.04
55:13:25,491,8.183333333,0.95,0.91,1.06
55:13:26,492,8.2,0.95,0.91,1.08
55:13:27,493,8.216666667,0.95,0.91,1.03
55:13:28,494,8.233333333,0.95,0.91,1.1
55:13:29,495,8.25,0.95,0.91,1.03
55:13:30,496,8.266666667,0.95,0.91,1.07
55:13:31,497,8.283333333,0.95,0.91,1.07
55:13:32,498,8.3,0.95,0.91,1.03
55:13:33,499,8.316666667,0.95,0.91,1.09
55:13:34,500,8.333333333,0.95,0.91,1.03
55:13:35,501,8.35,0.95,0.91,1.08
55:13:36,502,8.366666667,0.95,0.91,1.06
55:13:37,503,8.383333333,0.95,0.91,1.05
55:13:38,504,8.4,0.95,0.91,1.09
55:13:39,505,8.416666667,0.95,0.91,1.02
55:13:40,506,8.433333333,0.95,0.91,1.09
55:13:41,507,8.45,0.95,0.91,1.02
55:13:42,508,8.466666667,0.95,0.91,1.07
55:13:43,509,8.483333333,0.95,0.91,1.06
55:13:44,510,8.5,0.95,0.91,1.04
55:13:45,511,8.516666667,0.95,0.91,1.09
55:13:46,512,8.533333333,0.95,0.91,1.02
55:13:47,513,8.55,0.95,0.91,1.08
55:13:48,514,8.566666667,0.95,0.91,1.04
55:13:49,515,8.583333333,0.95,0.91,1.03
55:13:50,516,8.6,0.95,0.91,1.08
55:13:51,517,8.616666667,0.95,0.91,1.01
55:13:52,518,8.633333333,0.95,0.91,1.08
55:13:53,519,8.65,0.95,0.91,1.04
55:13:54,520,8.666666667,0.95,0.91,1.04
55:13:55,521,8.683333333,0.95,0.91,1.08
55:13:56,522,8.7,0.95,0.91,1.01
55:13:57,523,8.716666667,0.95,0.91,1.08
55:13:58,524,8.733333333,0.95,0.91,1.03
55:13:59,525,8.75,0.95,0.91,1.04
55:14:00,526,8.766666667,0.95,0.91,1.07
55:14:01,527,8.783333333,0.95,0.9,1.02
55:14:02,528,8.8,0.95,0.91,1.09
55:14:03,529,8.816666667,0.95,0.91,1.02
55:14:04,530,8.833333333,0.95,0.91,1.06
55:14:05,531,8.85,0.95,0.9,1.07
55:14:06,532,8.866666667,0.95,0.9,1.02
55:14:07,533,8.883333333,0.95,0.9,1.09
55:14:08,534,8.9,0.95,0.9,1.03
55:14:09,535,8.916666667,0.95,0.9,1.06
55:14:10,536,8.933333333,0.95,0.9,1.08
55:14:11,537,8.95,0.95,0.9,1.02
55:14:12,538,8.966666667,0.95,0.9,1.09
55:14:13,539,8.983333333,0.95,0.9,1.03
55:14:14,540,9,0.95,0.9,1.04
55:14:15,541,9.016666667,0.95,0.9,1.08
55:14:16,542,9.033333333,0.95,0.9,1.02
55:14:17,543,9.05,0.95,0.9,1.09
55:14:18,544,9.066666667,0.95,0.9,1.04
55:14:19,545,9.083333333,0.95,0.9,1.05
